Match Date,Match,P1,P1 BB%,P1 Samples,P1 Worst Odds,P2,P2 BB%,P2 Samples,P2 Worst Odds
2026-03-31 06:55:00,Rafal Skotniczny vs Jakub Nowak,Rafal Skotniczny,,11,,Jakub Nowak,0.368,19,171.0
2026-03-30 09:00:00,Karol Wisniewski vs Marcin Jadczyk,Karol Wisniewski,0.368,19,171.0,Marcin Jadczyk,,11,
2026-03-30 12:45:00,Mateusz Misiak vs Lukasz Pietraszko,Mateusz Misiak,0.368,19,171.0,Lukasz Pietraszko,,11,
2026-03-30 19:40:00,Rutkowski Mateusz vs Patryk Jendrzejewski,Rutkowski Mateusz,0.368,19,171.0,Patryk Jendrzejewski,,11,
2026-03-30 17:15:00,Rutkowski Mateusz vs Patryk Jendrzejewski,Rutkowski Mateusz,0.368,19,171.0,Patryk Jendrzejewski,,11,
2026-03-31 00:55:00,Rafal Skotniczny vs Jakub Nowak,Rafal Skotniczny,,11,,Jakub Nowak,0.368,19,171.0
2026-03-30 23:10:00,Jakub Glanowski vs Aleksander Lilien,Jakub Glanowski,0.368,19,171.0,Aleksander Lilien,,11,
2026-03-30 15:45:00,Miroslaw Lewczuk vs Adam Staniczek,Miroslaw Lewczuk,,8,,Adam Staniczek,0.364,22,175.0
2026-03-30 19:25:00,Miroslaw Lewczuk vs Adam Staniczek,Miroslaw Lewczuk,,8,,Adam Staniczek,0.364,22,175.0
2026-03-30 11:40:00,Piotr Chodorski vs Lukasz Jarocki,Piotr Chodorski,0.357,14,180.0,Lukasz Jarocki,0.25,16,300.0
2026-03-31 01:45:00,Kacper Adamus vs Rafal Skotniczny,Kacper Adamus,0.231,13,333.0,Rafal Skotniczny,0.353,17,183.0
2026-03-30 23:20:00,Mariusz Baron vs Schaniel Krzysztof,Mariusz Baron,0.35,20,186.0,Schaniel Krzysztof,,10,
2026-03-30 21:45:00,Michal Machelski vs Adam Staniczek,Michal Machelski,0.333,18,200.0,Adam Staniczek,0.333,12,200.0
2026-03-31 05:45:00,Kacper Petas vs Marcin Jadczyk,Kacper Petas,0.333,21,200.0,Marcin Jadczyk,,9,
2026-03-31 02:15:00,Marcin Jadczyk vs Kacper Petas,Marcin Jadczyk,,9,,Kacper Petas,0.333,21,200.0
2026-03-30 20:25:00,Przemyslaw Blocho vs Arkadiusz Mugowski,Przemyslaw Blocho,0.333,15,200.0,Arkadiusz Mugowski,0.333,15,200.0
2026-03-30 18:20:00,Mateusz Misiak vs Arkadiusz Mugowski,Mateusz Misiak,0.333,12,200.0,Arkadiusz Mugowski,0.167,18,500.0
2026-03-30 08:10:00,Kacper Petas vs Marcin Jadczyk,Kacper Petas,0.333,21,200.0,Marcin Jadczyk,,9,
2026-03-30 09:30:00,Patrik Klos vs Jan Zandecki,Patrik Klos,,11,,Jan Zandecki,0.333,18,200.0
2026-03-30 11:15:00,Mateusz Misiak vs Artur Sobel,Mateusz Misiak,0.222,18,350.0,Artur Sobel,0.333,12,200.0
2026-03-30 16:00:00,Mateusz Misiak vs Arkadiusz Mugowski,Mateusz Misiak,0.333,12,200.0,Arkadiusz Mugowski,0.167,18,500.0
2026-03-30 15:20:00,Stanislav Stelmashchuk vs Jakub Cyndera,Stanislav Stelmashchuk,0.333,12,200.0,Jakub Cyndera,,8,
2026-03-30 17:55:00,Przemyslaw Blocho vs Arkadiusz Mugowski,Przemyslaw Blocho,0.333,15,200.0,Arkadiusz Mugowski,0.333,15,200.0
2026-03-30 21:20:00,Jakub Pruszkowski vs Oskar Jadach,Jakub Pruszkowski,,11,,Oskar Jadach,0.316,19,217.0
2026-03-30 13:20:00,Oskar Jadach vs Jakub Pruszkowski,Oskar Jadach,0.316,19,217.0,Jakub Pruszkowski,,11,
2026-03-31 00:15:00,Aleksander Lilien vs Grzegorz Poliniewicz,Aleksander Lilien,0.316,19,217.0,Grzegorz Poliniewicz,,11,
2026-03-30 22:00:00,Jakub Glanowski vs Grzegorz Poliniewicz,Jakub Glanowski,0.312,16,220.0,Grzegorz Poliniewicz,0.286,14,250.0
2026-03-30 14:25:00,Patryk Jendrzejewski vs Lukasz Jarocki,Patryk Jendrzejewski,0.308,13,225.0,Lukasz Jarocki,,4,
2026-03-31 05:35:00,Tomasz Filbrand vs Michal Minda,Tomasz Filbrand,,10,,Michal Minda,0.3,20,233.0
2026-03-31 02:55:00,Rafal Skotniczny vs Sebastian Szostok,Rafal Skotniczny,0.286,14,250.0,Sebastian Szostok,,11,
2026-03-30 22:50:00,Jakub Zochniak vs Filip Kujawa,Jakub Zochniak,0.286,14,250.0,Filip Kujawa,0.188,16,433.0
2026-03-31 02:55:00,Krzysztof Wloczko vs Marcin Balcerzak,Krzysztof Wloczko,,9,,Marcin Balcerzak,0.286,21,250.0
2026-03-30 10:10:00,Amirreza Abbasi vs Jan Zandecki,Amirreza Abbasi,,5,,Jan Zandecki,0.28,25,257.0
2026-03-30 12:55:00,Marcin Kowalczyk vs Kuba Golaszewski,Marcin Kowalczyk,,11,,Kuba Golaszewski,0.263,19,280.0
2026-03-31 00:00:00,Miroslav Sklensky vs Karol Wisniewski,Miroslav Sklensky,,10,,Karol Wisniewski,0.25,20,300.0
2026-03-30 08:25:00,Wojciech Gluszek vs Krzysztof Kotyl,Wojciech Gluszek,0.25,16,300.0,Krzysztof Kotyl,0.214,14,367.0
2026-03-30 13:45:00,Miroslaw Warzecha vs Stanislav Stelmashchuk,Miroslaw Warzecha,,6,,Stanislav Stelmashchuk,0.25,16,300.0
2026-03-31 03:20:00,Marian Lebek vs Milosz Cesarz,Marian Lebek,,6,,Milosz Cesarz,0.235,17,325.0
2026-03-30 10:35:00,Miroslaw Warzecha vs Adam Staniczek,Miroslaw Warzecha,,8,,Adam Staniczek,0.227,22,340.0
2026-03-30 16:35:00,Miroslaw Warzecha vs Adam Staniczek,Miroslaw Warzecha,,8,,Adam Staniczek,0.227,22,340.0
2026-03-30 18:10:00,Henryk Tkaczyk vs Adam Staniczek,Henryk Tkaczyk,,8,,Adam Staniczek,0.227,22,340.0
2026-03-31 03:10:00,Jakub Zochniak vs Grzegorz Poliniewicz,Jakub Zochniak,0.217,23,360.0,Grzegorz Poliniewicz,,7,
2026-03-31 07:15:00,Tomasz Filbrand vs Kamil Rudomina,Tomasz Filbrand,,11,,Kamil Rudomina,0.211,19,375.0
2026-03-31 03:45:00,Adrian Spychala vs Karol Wisniewski,Adrian Spychala,0.211,19,375.0,Karol Wisniewski,,11,
2026-03-31 02:35:00,Karol Wisniewski vs Jakub Kwapis,Karol Wisniewski,0.19,21,425.0,Jakub Kwapis,,9,
2026-03-31 05:40:00,Karol Wisniewski vs Jakub Kwapis,Karol Wisniewski,0.19,21,425.0,Jakub Kwapis,,9,
2026-03-31 02:10:00,Jakub Kaczmarek vs Krzysztof Hetnar,Jakub Kaczmarek,0.185,27,440.0,Krzysztof Hetnar,,3,
2026-03-30 19:00:00,Michal Machelski vs Henryk Tkaczyk,Michal Machelski,0.182,22,450.0,Henryk Tkaczyk,,8,
2026-03-30 10:55:00,Lukasz Oracz vs Wojciech Tobiasz,Lukasz Oracz,,8,,Wojciech Tobiasz,0.182,22,450.0
2026-03-30 08:10:00,Grzegorz Wichowski vs Wojciech Tobiasz,Grzegorz Wichowski,,11,,Wojciech Tobiasz,0.158,19,533.0
2026-03-30 22:05:00,Adrian Spychala vs Jakub Kwapis,Adrian Spychala,0.158,19,533.0,Jakub Kwapis,,11,
2026-03-31 06:30:00,Adrian Spychala vs Jakub Kwapis,Adrian Spychala,0.158,19,533.0,Jakub Kwapis,,11,
2026-03-31 00:45:00,Adrian Spychala vs Miroslav Sklensky,Adrian Spychala,0.15,20,567.0,Miroslav Sklensky,,10,
2026-03-31 05:20:00,Miroslav Sklensky vs Adrian Spychala,Miroslav Sklensky,,10,,Adrian Spychala,0.15,20,567.0
2026-03-30 22:55:00,Miroslav Sklensky vs Marcin Balcerzak,Miroslav Sklensky,,8,,Marcin Balcerzak,0.091,22,1000.0
