player_low,player_high,matches,sweeps,avg_total_sets,avg_ATP,last_match,sweep_rate,non_sweep_rate
adrian piegza,eryk skura,26,2,4.3076923076923075,82.6923076923077,2024-05-26 07:35:00,0.07692307692307693,0.9230769230769231
adrian piegza,marcin stepien,26,7,3.923076923076923,74.0,2024-05-26 06:35:00,0.2692307692307692,0.7307692307692308
adrian wiechec,bronislaw	kurzak,20,4,4.25,78.85,2024-02-22 03:00:00,0.2,0.8
adrian wiechec,darek kleczko,32,10,3.96875,74.125,2024-02-27 13:05:00,0.3125,0.6875
adrian wiechec,denys kovtanyuk,25,8,4.04,74.6,2024-08-14 13:35:00,0.32,0.6799999999999999
adrian wiechec,fabian sikora,21,8,3.857142857142857,71.38095238095238,2024-02-26 20:05:00,0.38095238095238093,0.6190476190476191
adrian wiechec,franciszek jastrzebowski,21,3,4.0,74.19047619047619,2024-02-27 17:05:00,0.14285714285714285,0.8571428571428572
adrian wiechec,mecik patryk,23,6,4.043478260869565,76.65217391304348,2023-11-29 07:35:00,0.2608695652173913,0.7391304347826086
adrian wiechec,tomasz witkowski,21,5,4.0476190476190474,74.0952380952381,2024-02-26 20:35:00,0.23809523809523808,0.7619047619047619
ahmed soliman,christopher beckett,20,4,4.15,79.95,2025-10-14 23:10:00,0.2,0.8
ahmed soliman,vijay kumar,31,8,4.225806451612903,78.64516129032258,2025-09-21 00:35:00,0.25806451612903225,0.7419354838709677
alapat saj,victor chis,26,9,4.0,73.11538461538461,2025-02-07 03:30:00,0.34615384615384615,0.6538461538461539
alberto ibarra,alejandro martinez,79,24,3.9873417721518987,73.86075949367088,2025-10-24 11:40:00,0.3037974683544304,0.6962025316455696
alberto ibarra,alvaro perez lapresta,26,6,4.038461538461538,74.6923076923077,2025-05-13 17:15:00,0.23076923076923078,0.7692307692307692
alberto ibarra,gonzalo rodriguez,33,11,3.9696969696969697,75.51515151515152,2025-03-17 16:10:00,0.3333333333333333,0.6666666666666667
alberto ibarra,juan cayuela,79,29,3.9367088607594938,73.36708860759494,2025-11-26 10:40:00,0.3670886075949367,0.6329113924050633
alberto ibarra,juan lara,67,28,3.7611940298507465,69.73134328358209,2025-05-15 09:40:00,0.417910447761194,0.582089552238806
alberto ibarra,juan m molina,26,10,3.8076923076923075,68.3076923076923,2025-11-24 18:40:00,0.38461538461538464,0.6153846153846154
alberto ibarra,leon jose garcia,73,24,3.9178082191780823,72.67123287671232,2025-11-21 10:50:00,0.3287671232876712,0.6712328767123288
alberto ibarra,pedro j rocamora,75,24,3.973333333333333,73.64,2025-11-21 10:10:00,0.32,0.6799999999999999
alberto ibarra,pedro j. rocamora,26,9,4.038461538461538,76.1923076923077,2023-05-16 06:10:00,0.34615384615384615,0.6538461538461539
alberto ibarra,salvador aracil,49,13,3.979591836734694,71.20408163265306,2023-07-04 06:10:00,0.2653061224489796,0.7346938775510203
alberto ibarra,sanchez juan a,103,36,3.8932038834951457,70.39805825242719,2025-11-30 10:10:00,0.34951456310679613,0.6504854368932038
alberto olmedo,cristian delgado,31,8,4.193548387096774,81.29032258064517,2025-05-06 14:10:00,0.25806451612903225,0.7419354838709677
alberto olmedo,enrique alarcon,35,8,4.142857142857143,80.28571428571429,2024-11-27 08:10:00,0.22857142857142856,0.7714285714285715
alberto olmedo,francisco almagro,26,3,4.269230769230769,80.26923076923077,2024-06-28 10:40:00,0.11538461538461539,0.8846153846153846
alberto olmedo,ismael llamas,21,8,3.9523809523809526,73.76190476190476,2025-05-06 17:20:00,0.38095238095238093,0.6190476190476191
alberto olmedo,jose reverte,61,17,4.065573770491803,78.21311475409836,2025-10-07 17:45:00,0.2786885245901639,0.7213114754098361
alberto olmedo,leoncio fernandez,21,4,4.238095238095238,81.28571428571429,2024-11-27 09:10:00,0.19047619047619047,0.8095238095238095
alberto olmedo,pedro chavez,25,4,4.32,84.0,2023-04-19 15:10:00,0.16,0.84
alberto pomares,eduardo gonzalez,24,10,3.875,72.875,2025-10-01 09:10:00,0.4166666666666667,0.5833333333333333
alberto pomares,miguel chamorro,29,14,3.5517241379310347,65.55172413793103,2025-10-01 10:10:00,0.4827586206896552,0.5172413793103448
alberto ruiz,francisco	cano,21,6,4.095238095238095,77.57142857142857,2025-09-06 08:40:00,0.2857142857142857,0.7142857142857143
alejandro martinez,gonzalo rodriguez,24,5,4.291666666666667,81.16666666666667,2025-03-24 07:40:00,0.20833333333333334,0.7916666666666666
alejandro martinez,ismael llamas,20,3,4.2,79.7,2025-06-10 11:40:00,0.15,0.85
alejandro martinez,juan cayuela,74,17,4.135135135135135,77.0,2025-10-24 06:40:00,0.22972972972972974,0.7702702702702703
alejandro martinez,juan lara,23,4,4.086956521739131,78.69565217391305,2025-05-29 09:50:00,0.17391304347826086,0.8260869565217391
alejandro martinez,leon jose garcia,82,32,3.8536585365853657,70.98780487804878,2025-10-24 09:40:00,0.3902439024390244,0.6097560975609756
alejandro martinez,manuel coro,24,11,3.625,64.91666666666667,2025-05-07 06:10:00,0.4583333333333333,0.5416666666666667
alejandro martinez,pedro j rocamora,51,14,4.03921568627451,76.17647058823529,2025-10-10 09:10:00,0.27450980392156865,0.7254901960784313
alejandro martinez,sanchez juan a,116,29,4.155172413793103,79.03448275862068,2025-10-21 14:10:00,0.25,0.75
aleksandr sapezhnikov,dan chen,23,7,3.9565217391304346,74.8695652173913,2025-09-09 22:40:00,0.30434782608695654,0.6956521739130435
aleksandr sapezhnikov,lu hsu chang,26,7,4.153846153846154,77.65384615384616,2025-10-11 22:45:00,0.2692307692307692,0.7307692307692308
aleksandr sapezhnikov,ray yang,23,5,4.217391304347826,79.26086956521739,2025-08-03 20:10:00,0.21739130434782608,0.782608695652174
aleksei nikonorov,pukk oskar,25,10,3.84,70.44,2025-02-26 17:15:00,0.4,0.6
ales brandtl,david bochnak,35,6,4.257142857142857,82.57142857142857,2025-09-17 20:25:00,0.17142857142857143,0.8285714285714285
ales brandtl,filip jakubsky,26,9,3.8846153846153846,73.46153846153847,2025-06-11 08:55:00,0.34615384615384615,0.6538461538461539
ales brandtl,filip nemec,83,19,4.156626506024097,77.66265060240964,2024-11-01 15:05:00,0.2289156626506024,0.7710843373493976
ales brandtl,jan kocab,31,10,4.032258064516129,75.09677419354838,2025-02-19 07:55:00,0.3225806451612903,0.6774193548387097
ales brandtl,matej beran,34,13,3.9411764705882355,72.17647058823529,2025-08-03 14:30:00,0.38235294117647056,0.6176470588235294
ales brandtl,ondrej fiklik,101,31,3.9702970297029703,75.7128712871287,2025-11-28 14:25:00,0.3069306930693069,0.693069306930693
ales brandtl,pavel benes,33,7,4.242424242424242,79.51515151515152,2025-09-16 12:55:00,0.21212121212121213,0.7878787878787878
ales brandtl,petr vanek,34,6,4.205882352941177,79.73529411764706,2025-10-27 15:25:00,0.17647058823529413,0.8235294117647058
ales brandtl,vaclav hejda,22,8,3.909090909090909,73.68181818181819,2025-08-22 16:25:00,0.36363636363636365,0.6363636363636364
ales brandtl jr,christian kratochvil,23,4,4.260869565217392,81.82608695652173,2026-04-08 12:20:00,0.17391304347826086,0.8260869565217391
ales brandtl jr,dominik lafek,40,9,4.225,79.35,2026-01-21 22:50:00,0.225,0.775
ales brandtl jr,frantisek dvorak,46,10,4.108695652173913,75.21739130434783,2026-03-11 13:50:00,0.21739130434782608,0.782608695652174
ales brandtl jr,jachym sebl,22,8,3.9545454545454546,75.0909090909091,2026-04-08 11:50:00,0.36363636363636365,0.6363636363636364
ales brandtl jr,lukas vich,23,5,4.130434782608695,77.34782608695652,2026-04-02 19:20:00,0.21739130434782608,0.782608695652174
ales brandtl jr,ondrej knazik,65,9,4.323076923076923,81.2,2026-01-30 14:55:00,0.13846153846153847,0.8615384615384616
ales brandtl jr,pavel cibik,42,13,4.071428571428571,75.95238095238095,2026-04-12 09:30:00,0.30952380952380953,0.6904761904761905
ales brandtl jr,pavel vyvial,26,7,3.9615384615384617,75.76923076923077,2025-11-15 01:50:00,0.2692307692307692,0.7307692307692308
ales brandtl jr,petr vodal,32,6,4.375,79.4375,2026-01-08 12:25:00,0.1875,0.8125
ales brandtl jr,tomas cerveny jr,38,7,4.078947368421052,77.0,2026-04-06 09:55:00,0.18421052631578946,0.8157894736842105
ales brandtl jr,tomas rein,36,7,4.138888888888889,77.36111111111111,2026-04-13 08:55:00,0.19444444444444445,0.8055555555555556
ales brandtl jr,trefny jan,30,13,3.7,68.8,2025-11-16 13:50:00,0.43333333333333335,0.5666666666666667
ales brandtl jr,zbynek vyskocil,36,5,4.194444444444445,79.80555555555556,2026-04-10 19:25:00,0.1388888888888889,0.8611111111111112
ales brandtl jr,zdenek dusek,37,7,4.108108108108108,77.02702702702703,2026-04-12 06:50:00,0.1891891891891892,0.8108108108108107
ales hanl,michal spalek,27,3,4.296296296296297,79.70370370370371,2024-10-02 11:25:00,0.1111111111111111,0.8888888888888888
ales hanl,tomas vorisek,35,8,4.171428571428572,77.97142857142858,2024-10-02 11:55:00,0.22857142857142856,0.7714285714285715
ales langer,dominik pasek,30,9,4.033333333333333,76.23333333333333,2025-06-28 06:55:00,0.3,0.7
