match_id,date,player1,player2,h2h_L10_weighted,h2h_L30_weighted,h2h_L60_weighted,h2h_L10_count,h2h_L30_count,h2h_L60_count,recent_A_L10,recent_B_L10,recent_A_L30,recent_B_L30,match_balance_L10
11621509,2026-03-21 04:00:00,Milos Pospisil,Jan Pleskot,0.7093333333333334,0.7093333333333334,0.7093333333333334,6,6,6,0.8,0.8,0.6666666666666666,0.8,0.39999999999999997
11621503,2026-03-21 04:00:00,David Heczko,David Mikula,0.755,0.755,0.755,5,5,5,0.8,0.7,0.6,0.7,0.30000000000000016
11620539,2026-03-21 04:00:00,Radim Urbaniec,Jiri Louda,0.9,0.7666666666666667,0.7666666666666667,10,30,30,0.7,0.6,0.5666666666666667,0.7333333333333333,0.19999999999999996
11621498,2026-03-21 04:00:00,Dmitro Parhomenko,Jiri Plachy,0.4,0.5,0.5,10,28,28,0.8,0.9,0.8,0.8333333333333334,0.39999999999999997
11621502,2026-03-21 04:00:00,Vojtech Kocian,Matej Levicky,0.7613333333333333,0.7613333333333333,0.7613333333333333,2,2,2,0.9,0.9,0.7,0.7333333333333333,0.5
11621501,2026-03-21 04:30:00,Ivan Kolenciak,Zdenek Luksa,0.6366666666666667,0.6366666666666667,0.6366666666666667,0,0,0,0.6,0.7,0.5666666666666667,0.6666666666666666,0.09999999999999998
11621504,2026-03-21 04:30:00,Michal Vedmoch,Kyryl Darin,0.8,0.9,0.75,10,30,60,1.0,0.6,0.7333333333333333,0.5666666666666667,0.6000000000000001
11621506,2026-03-21 04:30:00,Michal Syroha,Martin Tacinec,1.0,1.0,1.0,10,12,12,0.6,0.7,0.4666666666666667,0.7333333333333333,0.19999999999999996
11621508,2026-03-21 04:30:00,Petr Sebera,Karel Brozik,0.6,0.6111111111111112,0.6111111111111112,10,18,18,0.6,0.8,0.6666666666666666,0.7333333333333333,0.4000000000000001
11621510,2026-03-21 04:30:00,Tomas Hrabec,Daniel Priesol,0.7060000000000001,0.7060000000000001,0.7060000000000001,4,4,4,0.7,0.6,0.7666666666666667,0.6666666666666666,0.09999999999999998
11622382,2026-03-21 06:00:00,Lukas Martinec,Josef Toth,0.53,0.53,0.53,0,0,0,0.4,0.6,0.4166666666666667,0.7333333333333333,0.39999999999999997
11622179,2026-03-21 06:00:00,Matej Volf,Jakub Lauber,0.7733333333333333,0.7733333333333333,0.7733333333333333,0,0,0,0.8,0.8,0.6666666666666666,0.8,0.0
11622095,2026-03-21 06:00:00,Vratislav Petracek,Dan Volhejn,0.8,0.8333333333333334,0.75,10,30,60,0.8,0.7,0.8,0.6666666666666666,0.5
11620388,2026-03-21 06:00:00,Lukas Martinak,Josef Toth,0.6699999999999999,0.6699999999999999,0.6699999999999999,0,0,0,0.7,0.6,0.6666666666666666,0.7333333333333333,0.19999999999999996
11620302,2026-03-21 06:00:00,Michael Sedlacek,Ondrej Paril,0.6,0.6333333333333333,0.6666666666666666,10,30,54,0.5,0.8,0.5666666666666667,0.6666666666666666,0.5000000000000001
11621522,2026-03-21 06:00:00,Miroslav Barta,Leos Havrda,0.9,0.8947368421052632,0.8947368421052632,10,19,19,0.6,0.7,0.6333333333333333,0.5333333333333333,0.5999999999999999
11620058,2026-03-21 06:30:00,Martin Huk,Jan Kanera,0.7,0.7333333333333333,0.7666666666666667,10,30,60,0.6,0.7,0.6,0.7333333333333333,0.29999999999999993
11620139,2026-03-21 06:30:00,Miloslav Lubas,Jiri Grohsgott,0.7,0.5666666666666667,0.5641025641025641,10,30,39,0.5,0.5,0.6333333333333333,0.5333333333333333,0.09999999999999998
11620301,2026-03-21 06:30:00,Jan Dzida,Adam Pokorny,0.8,0.8,0.8,10,10,10,0.8,0.8,0.7666666666666667,0.7333333333333333,0.09999999999999998
11622185,2026-03-21 06:30:00,Jiri Plachy,Dmitro Parhomenko,0.4,0.5,0.5,10,28,28,0.9,0.8,0.8333333333333334,0.8,0.39999999999999997
11622383,2026-03-21 06:30:00,Miroslav Stolba,David Vavrecka,0.8,0.8,0.8,2,2,2,0.7,0.8,0.7,0.8,0.20000000000000012
11622399,2026-03-21 07:00:00,Jakub Lauber,Jiri Plachy,0.551,0.551,0.551,7,7,7,0.8,0.9,0.8,0.8333333333333334,0.2
11622182,2026-03-21 07:00:00,Leos Havrda,Miloslav Lubas,0.6,0.6296296296296297,0.6296296296296297,10,27,27,0.7,0.5,0.5333333333333333,0.6333333333333333,0.5999999999999999
11622181,2026-03-21 07:00:00,Ondrej Paril,Jan Dzida,0.8,0.6842105263157895,0.6842105263157895,10,19,19,0.8,0.8,0.6666666666666666,0.7666666666666667,0.0
11620457,2026-03-21 07:00:00,Josef Toth,Miroslav Stolba,0.706,0.706,0.706,4,4,4,0.6,0.7,0.7333333333333333,0.7,0.09999999999999998
11622178,2026-03-21 07:00:00,Dan Volhejn,Martin Huk,0.9,0.7333333333333333,0.7,10,30,60,0.7,0.6,0.6666666666666666,0.6,0.49999999999999994
11620461,2026-03-21 07:30:00,Jiri Grohsgott,Miroslav Barta,0.4,0.68,0.68,10,25,25,0.5,0.6,0.5333333333333333,0.6333333333333333,0.29999999999999993
11622176,2026-03-21 07:30:00,Jan Kanera,Vratislav Petracek,0.7,0.7,0.68,10,30,50,0.7,0.8,0.7333333333333333,0.8,0.30000000000000004
11622177,2026-03-21 07:30:00,Dmitro Parhomenko,Matej Volf,0.564,0.564,0.564,4,4,4,0.8,0.8,0.8,0.6666666666666666,0.19999999999999996
11622180,2026-03-21 07:30:00,Adam Pokorny,Michael Sedlacek,0.765,0.765,0.765,9,9,9,0.8,0.5,0.7333333333333333,0.5666666666666667,0.6000000000000001
11622393,2026-03-21 07:30:00,David Vavrecka,Lukas Martinec,0.6033333333333334,0.6033333333333334,0.6033333333333334,0,0,0,0.8,0.4,0.8,0.4166666666666667,0.5
11622652,2026-03-21 07:30:00,David Vavrecka,Lukas Martinak,0.7433333333333334,0.7433333333333334,0.7433333333333334,0,0,0,0.8,0.7,0.8,0.6666666666666666,0.3000000000000001
11622384,2026-03-21 08:00:00,Lukas Martinec,Miroslav Stolba,0.5533333333333333,0.5533333333333333,0.5533333333333333,0,0,0,0.4,0.7,0.4166666666666667,0.7,0.49999999999999994
11622210,2026-03-21 08:00:00,Matej Volf,Jiri Plachy,0.7,0.7333333333333333,0.7333333333333333,10,15,15,0.8,0.9,0.6666666666666666,0.8333333333333334,0.2
11622206,2026-03-21 08:00:00,Lukas Martinak,Miroslav Stolba,0.6933333333333334,0.6933333333333334,0.6933333333333334,0,0,0,0.7,0.7,0.6666666666666666,0.7,0.09999999999999998
11622184,2026-03-21 08:00:00,Michael Sedlacek,Jan Dzida,0.8,0.8695652173913043,0.8695652173913043,10,23,23,0.5,0.8,0.5666666666666667,0.7666666666666667,0.5000000000000001
11621523,2026-03-21 08:00:00,Miroslav Barta,Miloslav Lubas,0.875,0.875,0.875,7,7,7,0.6,0.5,0.6333333333333333,0.6333333333333333,0.19999999999999996
11622183,2026-03-21 08:00:00,Vratislav Petracek,Martin Huk,0.8,0.8,0.75,10,30,60,0.8,0.6,0.8,0.6,0.20000000000000007
11620458,2026-03-21 08:30:00,Josef Toth,David Vavrecka,0.7813333333333334,0.7813333333333334,0.7813333333333334,2,2,2,0.6,0.8,0.7333333333333333,0.8,0.3000000000000001
11620463,2026-03-21 08:30:00,Leos Havrda,Jiri Grohsgott,0.5,0.5666666666666667,0.5833333333333334,10,30,60,0.7,0.5,0.5333333333333333,0.5333333333333333,0.49999999999999994
11622207,2026-03-21 08:30:00,Dan Volhejn,Jan Kanera,0.4,0.5357142857142857,0.5357142857142857,10,28,28,0.7,0.7,0.6666666666666666,0.7333333333333333,0.2
11622208,2026-03-21 08:30:00,Ondrej Paril,Adam Pokorny,0.7,0.7222222222222222,0.7222222222222222,10,18,18,0.8,0.8,0.6666666666666666,0.7333333333333333,0.09999999999999998
11622209,2026-03-21 08:30:00,Jakub Lauber,Dmitro Parhomenko,0.8200000000000001,0.8200000000000001,0.8200000000000001,1,1,1,0.8,0.8,0.8,0.8,0.19999999999999996
11622394,2026-03-21 10:00:00,Tomas Barta,Matej Volf,0.9,0.6666666666666666,0.6764705882352942,10,30,34,1.0,0.8,0.8333333333333334,0.6666666666666666,0.3999999999999999
11622385,2026-03-21 10:00:00,Jan Dzida,Adam Pokorny,0.8,0.8,0.8,10,10,10,0.8,0.8,0.7666666666666667,0.7333333333333333,0.09999999999999998
11620194,2026-03-21 10:00:00,Jiri Dedek,Frantisek Briza,1.0,0.8,0.8,10,30,30,0.7,0.4,0.6,0.6333333333333333,0.29999999999999993
11620303,2026-03-21 10:00:00,Matej Grundel,Michal Hrabec,0.7,0.7692307692307693,0.7692307692307693,10,13,13,0.8,0.8,0.7666666666666667,0.7333333333333333,0.10000000000000009
11620548,2026-03-21 10:00:00,Julius Didi,Milan Cetner,0.4,0.5789473684210527,0.5789473684210527,10,19,19,0.7,0.5,0.7333333333333333,0.5666666666666667,0.19999999999999996
11620051,2026-03-21 10:30:00,Lukas Velebil,Daniel Tomica,0.7386666666666668,0.7386666666666668,0.7386666666666668,2,2,2,0.6,0.7,0.75,0.6666666666666666,0.3
11620196,2026-03-21 10:30:00,Michal Vedmoch,Milan Kolar,0.9,0.7857142857142857,0.7857142857142857,10,28,28,1.0,0.5,0.7333333333333333,0.6333333333333333,0.9
