player_low,player_high,matches,sweeps,avg_total_sets,avg_ATP,last_match,sweep_rate,non_sweep_rate
alesh bayer,tomas franek,22,6,4.045454545454546,74.45454545454545,2025-10-17 01:00:00,0.2727272727272727,0.7272727272727273
alesh bayer,tomek batog,23,8,3.9130434782608696,74.21739130434783,2025-07-17 01:30:00,0.34782608695652173,0.6521739130434783
alesh bayer,viktor vejvoda,26,12,3.6923076923076925,68.15384615384616,2026-04-03 12:30:00,0.46153846153846156,0.5384615384615384
alesh bayer,vratislav petracek,50,5,4.46,85.12,2025-06-21 21:30:00,0.1,0.9
alesh bayer,yirzhi louda,95,24,4.105263157894737,78.03157894736842,2025-10-18 23:30:00,0.25263157894736843,0.7473684210526316
alesh bayer,zbynek pagac,72,20,4.055555555555555,76.56944444444444,2025-06-20 23:30:00,0.2777777777777778,0.7222222222222222
alexander hejduk,david tomasch,32,4,4.375,81.71875,2026-03-31 09:30:00,0.125,0.875
alexander hejduk,jan potensky,78,24,4.0256410256410255,74.34615384615384,2026-04-17 00:00:00,0.3076923076923077,0.6923076923076923
alexander hejduk,jaromir cernik,32,10,3.9375,71.90625,2026-04-13 02:00:00,0.3125,0.6875
alexander hejduk,jaroslav strnad,27,11,3.8518518518518516,72.22222222222223,2026-02-19 00:00:00,0.4074074074074074,0.5925925925925926
alexander hejduk,jiri grohsgott,67,23,3.955223880597015,71.88059701492537,2026-04-17 03:06:00,0.34328358208955223,0.6567164179104478
alexander hejduk,jiri svec,75,26,3.96,74.57333333333334,2026-04-15 08:30:00,0.3466666666666667,0.6533333333333333
alexander hejduk,ladislav havel,33,12,3.9696969696969697,73.3030303030303,2026-04-19 00:30:00,0.36363636363636365,0.6363636363636364
alexander hejduk,lubor sulava,21,9,3.9047619047619047,72.57142857142857,2025-02-01 23:00:00,0.42857142857142855,0.5714285714285714
alexander hejduk,ludek madle,60,12,4.166666666666667,78.96666666666667,2026-04-09 22:00:00,0.2,0.8
alexander hejduk,michal syroha,43,19,3.7209302325581395,68.6046511627907,2026-01-19 00:00:00,0.4418604651162791,0.5581395348837209
alexander hejduk,milan chalupnicek,44,9,4.159090909090909,78.36363636363636,2026-03-27 08:00:00,0.20454545454545456,0.7954545454545454
alexander hejduk,milan smesny,23,10,3.8260869565217392,70.91304347826087,2026-03-05 10:30:00,0.43478260869565216,0.5652173913043479
alexander hejduk,milan vrabec,33,6,4.121212121212121,77.54545454545455,2026-04-15 09:00:00,0.18181818181818182,0.8181818181818181
alexander hejduk,miloslav lubas,26,8,3.8846153846153846,73.03846153846153,2025-06-10 08:30:00,0.3076923076923077,0.6923076923076923
alexander hejduk,pavel sprynar,49,15,4.040816326530612,74.95918367346938,2026-02-01 00:30:00,0.30612244897959184,0.6938775510204082
alexander hejduk,tomas regner,33,11,3.8484848484848486,71.48484848484848,2025-01-21 10:30:00,0.3333333333333333,0.6666666666666667
alexander hejduk,trojan frantisek,25,9,3.96,71.48,2025-05-26 03:30:00,0.36,0.64
antonin kosprd,josef fuchs,39,12,4.153846153846154,77.41025641025641,2025-01-29 14:30:00,0.3076923076923077,0.6923076923076923
antonin kosprd,miloslav kotil,51,18,3.9215686274509802,72.03921568627452,2025-01-07 11:30:00,0.35294117647058826,0.6470588235294117
antonin kosprd,miroslav nejedly,26,9,3.8846153846153846,72.0,2025-05-21 12:00:00,0.34615384615384615,0.6538461538461539
antonin kosprd,stepan prazak,25,11,3.76,69.12,2025-05-29 11:30:00,0.44,0.56
ba hoang tai nguyen,dmitro parhomenko,58,17,4.017241379310345,74.5,2026-04-14 13:00:00,0.29310344827586204,0.7068965517241379
ba hoang tai nguyen,jaroslav prokupek,57,17,3.982456140350877,74.29824561403508,2026-04-20 08:00:00,0.2982456140350877,0.7017543859649122
ba hoang tai nguyen,jiri dedek,21,4,4.238095238095238,78.33333333333333,2026-04-17 15:30:00,0.19047619047619047,0.8095238095238095
ba hoang tai nguyen,jiri plachy,74,17,4.121621621621622,76.17567567567568,2026-04-20 11:30:00,0.22972972972972974,0.7702702702702703
ba hoang tai nguyen,kyryl darin,38,7,4.157894736842105,79.28947368421052,2026-03-29 14:30:00,0.18421052631578946,0.8157894736842105
ba hoang tai nguyen,michal vedmoch,22,9,3.727272727272727,70.9090909090909,2026-03-11 02:30:00,0.4090909090909091,0.5909090909090908
ba hoang tai nguyen,radim pavelka,23,0,4.478260869565218,82.91304347826087,2026-04-06 03:00:00,0.0,1.0
ba hoang tai nguyen,stanislav olejarcik,22,5,4.136363636363637,77.95454545454545,2026-01-03 02:30:00,0.22727272727272727,0.7727272727272727
ba hoang tai nguyen,tomas barta,88,10,4.375,83.875,2026-04-20 12:00:00,0.11363636363636363,0.8863636363636364
ba hoang tai nguyen,vladimir cermak,21,8,3.9523809523809526,73.85714285714286,2026-04-08 00:00:00,0.38095238095238093,0.6190476190476191
ba hoang tai nguyen,vladimr postelt,32,11,3.9375,73.6875,2026-04-19 02:00:00,0.34375,0.65625
bohumil duben,jan manhal sr,24,11,3.9166666666666665,70.625,2025-05-13 13:30:00,0.4583333333333333,0.5416666666666667
bohumil duben,jaroslav wasserbauer,29,10,4.0344827586206895,73.75862068965517,2025-05-05 15:30:00,0.3448275862068966,0.6551724137931034
bohumil duben,jiri vesely senior,31,5,4.354838709677419,80.93548387096774,2025-04-23 07:30:00,0.16129032258064516,0.8387096774193549
bohumil duben,josef musil,25,10,3.84,72.56,2025-04-30 13:30:00,0.4,0.6
bohumil duben,josef rossler,28,8,4.0,75.42857142857143,2025-06-01 20:00:00,0.2857142857142857,0.7142857142857143
bohumil duben,karel hons,51,13,4.0588235294117645,74.17647058823529,2025-06-21 21:04:00,0.2549019607843137,0.7450980392156863
bohumil duben,martin zizka,24,7,3.9583333333333335,74.25,2025-02-25 13:00:00,0.2916666666666667,0.7083333333333333
bohumil duben,miroslav necas,33,8,4.2727272727272725,81.21212121212122,2024-09-18 07:00:00,0.24242424242424243,0.7575757575757576
bohumil duben,radek limbursky,46,9,4.260869565217392,79.43478260869566,2025-06-26 18:30:00,0.1956521739130435,0.8043478260869565
bohumil duben,vaclav svoboda,23,5,4.086956521739131,77.52173913043478,2025-06-26 19:00:00,0.21739130434782608,0.782608695652174
bohumil skulina,ivo palmi,20,9,3.7,68.95,2024-06-28 12:00:00,0.45,0.55
bohumil skulina,jaromir kanok,20,5,4.05,75.45,2024-02-27 18:30:00,0.25,0.75
bohumil skulina,jiri foltynek,21,7,4.0476190476190474,75.61904761904762,2024-06-28 10:00:00,0.3333333333333333,0.6666666666666667
bohumil skulina,jiri motak,40,12,4.05,74.85,2024-06-28 11:30:00,0.3,0.7
bohumil skulina,kanak alois,30,10,3.966666666666667,73.96666666666667,2024-06-19 10:30:00,0.3333333333333333,0.6666666666666667
bohumil skulina,martin stefek,22,3,4.2727272727272725,80.86363636363636,2024-06-23 18:30:00,0.13636363636363635,0.8636363636363636
bohumil skulina,tomas navrat,20,7,3.95,71.6,2024-06-23 21:30:00,0.35,0.65
bohumil skulina,tomas suta,26,4,4.384615384615385,82.1923076923077,2024-06-24 13:30:00,0.15384615384615385,0.8461538461538461
bohumil vozicky,frantisek kanta,20,11,3.5,61.8,2025-06-06 08:00:00,0.55,0.44999999999999996
bohuslav kaloc,jiri foltynek,33,18,3.6363636363636362,67.27272727272727,2024-05-01 11:30:00,0.5454545454545454,0.4545454545454546
bohuslav kaloc,jiri motak,32,4,4.34375,82.40625,2024-04-17 11:30:00,0.125,0.875
bohuslav kaloc,josef toth,27,7,4.074074074074074,76.51851851851852,2024-05-01 10:30:00,0.25925925925925924,0.7407407407407407
borek moravec,jan krupnik,23,9,4.130434782608695,75.73913043478261,2024-06-27 16:30:00,0.391304347826087,0.6086956521739131
borek moravec,kamil kleprlik,24,13,3.75,68.95833333333333,2024-05-11 10:30:00,0.5416666666666666,0.45833333333333337
borek moravec,radim urbaniec,22,6,4.045454545454546,77.31818181818181,2024-06-15 07:00:00,0.2727272727272727,0.7272727272727273
borek moravec,roman hudeczek,21,4,4.285714285714286,79.76190476190476,2024-05-29 19:00:00,0.19047619047619047,0.8095238095238095
borek moravec,tadeas zika,24,6,4.041666666666667,76.08333333333333,2024-06-10 17:30:00,0.25,0.75
bronislav roubal,jaroslav kasan,30,9,4.1,76.73333333333333,2023-10-29 08:00:00,0.3,0.7
bronislav roubal,jiri machart,71,23,4.028169014084507,74.95774647887323,2023-11-02 09:30:00,0.323943661971831,0.676056338028169
bronislav roubal,martin nypl,33,14,3.787878787878788,71.75757575757575,2023-10-29 10:00:00,0.42424242424242425,0.5757575757575757
bronislav roubal,oskar spacek,36,6,4.444444444444445,85.36111111111111,2023-10-16 07:30:00,0.16666666666666666,0.8333333333333334
bronislav roubal,vlastimil svatos,49,14,4.122448979591836,77.12244897959184,2023-11-02 07:00:00,0.2857142857142857,0.7142857142857143
cesta havrda,jaromir cernik,36,5,4.361111111111111,81.55555555555556,2026-04-07 10:30:00,0.1388888888888889,0.8611111111111112
cesta havrda,jaroslav strnad,91,26,3.923076923076923,72.5934065934066,2026-04-20 13:30:00,0.2857142857142857,0.7142857142857143
cesta havrda,jiri grohsgott,42,10,4.071428571428571,73.45238095238095,2026-04-07 11:30:00,0.23809523809523808,0.7619047619047619
cesta havrda,ludek madle,27,9,4.111111111111111,77.14814814814815,2026-03-17 07:30:00,0.3333333333333333,0.6666666666666667
cesta havrda,milan smesny,65,16,4.1692307692307695,77.67692307692307,2026-03-04 14:30:00,0.24615384615384617,0.7538461538461538
cesta havrda,miloslav lubas,28,3,4.285714285714286,79.67857142857143,2025-08-27 13:30:00,0.10714285714285714,0.8928571428571429
cesta havrda,otto jarkovsky,21,2,4.333333333333333,81.61904761904762,2024-07-30 09:08:00,0.09523809523809523,0.9047619047619048
cesta havrda,pavel sprynar,50,13,4.1,77.24,2026-02-19 12:30:00,0.26,0.74
cesta havrda,petr serak,74,23,4.0,74.74324324324324,2026-03-16 07:30:00,0.3108108108108108,0.6891891891891893
cesta havrda,tomas regner,28,9,3.9285714285714284,72.25,2024-11-13 13:00:00,0.32142857142857145,0.6785714285714286
cesta havrda,vladimir kubat,138,41,4.021739130434782,74.40579710144928,2026-04-20 12:30:00,0.2971014492753623,0.7028985507246377
cestmir simunek,miroslav novotny,20,4,4.2,79.2,2026-01-24 19:30:00,0.2,0.8
dalimil machander,lukas martinak,21,5,4.285714285714286,83.42857142857143,2026-04-12 10:30:00,0.23809523809523808,0.7619047619047619
dalimil machander,richard skacelik,26,0,4.615384615384615,88.0,2026-04-18 20:30:00,0.0,1.0
dan volhejn,erik mares,38,12,4.131578947368421,79.15789473684211,2026-01-27 14:00:00,0.3157894736842105,0.6842105263157895
dan volhejn,jakub kycelt,24,3,4.208333333333333,77.08333333333333,2026-04-20 22:00:00,0.125,0.875
dan volhejn,jan kanera,33,14,3.9393939393939394,77.57575757575758,2026-04-12 10:00:00,0.42424242424242425,0.5757575757575757
dan volhejn,jan mecl jr,41,7,4.2439024390243905,80.07317073170732,2026-04-18 08:30:00,0.17073170731707318,0.8292682926829268
dan volhejn,jiri ruzicka,122,34,4.163934426229508,78.87704918032787,2026-04-14 23:00:00,0.2786885245901639,0.7213114754098361
