match_id,date,player1,player2,h2h_L10_weighted,h2h_L30_weighted,h2h_L60_weighted,h2h_L10_count,h2h_L30_count,h2h_L60_count,recent_A_L10,recent_B_L10,recent_A_L30,recent_B_L30,match_balance_L10
11615683,2026-03-20 06:45:00,Amirreza Abbasi,Antoni Witkowski,0.7,0.6,0.65,10,30,60,0.7,0.7,0.7,0.6333333333333333,0.30000000000000004
11615681,2026-03-20 07:05:00,Krzysztof Wloczko,Adrian Spychala,0.5,0.5666666666666667,0.6166666666666667,10,30,60,0.7,0.3,0.6333333333333333,0.5,0.49999999999999994
11615689,2026-03-20 07:10:00,Adam Dosz,Piotr Cyrnek,0.6,0.8,0.7631578947368421,10,30,38,0.7,0.8,0.7333333333333333,0.7666666666666667,0.30000000000000004
11615663,2026-03-20 07:30:00,Jakub Kwapis,Karol Wisniewski,0.4,0.5666666666666667,0.5,10,30,48,0.7,0.7,0.6333333333333333,0.6,0.09999999999999998
11615679,2026-03-20 07:35:00,Antoni Witkowski,Josef Braun,0.6,0.6666666666666666,0.6808510638297872,10,30,47,0.7,0.6,0.6333333333333333,0.6,0.3
11615146,2026-03-20 07:55:00,Artur Daniel,Krzysztof Wloczko,0.8,0.7,0.7333333333333333,10,30,60,0.9,0.7,0.7333333333333333,0.6333333333333333,0.30000000000000004
11615649,2026-03-20 08:00:00,Amirreza Abbasi,Michal Benes,0.4,0.5416666666666666,0.5416666666666666,10,24,24,0.7,0.6,0.7,0.5666666666666667,0.5
11615333,2026-03-20 08:20:00,Miroslav Sklensky,Adrian Spychala,0.4,0.43333333333333335,0.4666666666666667,10,30,60,0.6,0.3,0.6,0.5,0.39999999999999997
11615660,2026-03-20 08:25:00,Piotr Cyrnek,Josef Braun,0.8,0.8,0.8,10,20,20,0.8,0.6,0.7666666666666667,0.6,0.7
11615342,2026-03-20 08:45:00,Jakub Kwapis,Krzysztof Wloczko,0.7,0.7241379310344828,0.7241379310344828,10,29,29,0.7,0.7,0.6333333333333333,0.6333333333333333,0.0
11615677,2026-03-20 08:50:00,Adam Dosz,Amirreza Abbasi,0.6,0.7666666666666667,0.75,10,30,60,0.7,0.7,0.7333333333333333,0.7,0.4
11615145,2026-03-20 09:10:00,Artur Daniel,Miroslav Sklensky,0.5,0.6333333333333333,0.7166666666666667,10,30,60,0.9,0.6,0.7333333333333333,0.6,0.4
11615350,2026-03-20 09:15:00,Antoni Witkowski,Michal Benes,0.7,0.75,0.75,10,20,20,0.7,0.6,0.6333333333333333,0.5666666666666667,0.19999999999999996
11615343,2026-03-20 09:35:00,Adrian Spychala,Karol Wisniewski,0.6,0.6333333333333333,0.6833333333333333,10,30,60,0.3,0.7,0.5,0.6,0.39999999999999997
11615334,2026-03-20 09:40:00,Piotr Cyrnek,Amirreza Abbasi,0.7,0.8333333333333334,0.8378378378378378,10,30,37,0.8,0.7,0.7666666666666667,0.7,0.7000000000000001
11615344,2026-03-20 10:00:00,Jakub Kwapis,Miroslav Sklensky,0.6,0.5769230769230769,0.5769230769230769,10,26,26,0.7,0.6,0.6333333333333333,0.6,0.09999999999999998
11615680,2026-03-20 10:05:00,Adam Dosz,Antoni Witkowski,0.8,0.6,0.55,10,30,60,0.7,0.7,0.7333333333333333,0.6333333333333333,0.09999999999999998
11615271,2026-03-20 10:25:00,Krzysztof Wloczko,Karol Wisniewski,0.7,0.6666666666666666,0.6833333333333333,10,30,60,0.7,0.7,0.6333333333333333,0.6,0.09999999999999998
