schedule_name,key,player_id,matched_by
Emiliana Arango,arangoe,wta_58,alias
Hailey Baptiste,hbaptiste,,alias_no_match
Hailey Baptiste,baptiste,,alias_no_match
Hailey Baptiste,haileybaptiste,,alias_no_match
Hailey Baptiste,baptisteh,wta_44,alias
Antonia Ruzic,ruzica,wta_67,alias
Jennifer Brady,bradyj,,alias_no_match
Jennifer Brady,jenniferbrady,,alias_no_match
Jennifer Brady,brady,,alias_no_match
Jennifer Brady,jbrady,,alias_no_match
Jennifer Brady,bradyj,,player_lookup_no_match
Jennifer Brady,jenniferbrady,,player_lookup_no_match
Jennifer Brady,brady,,player_lookup_no_match
Jennifer Brady,jbrady,,player_lookup_no_match
Jennifer Brady,bradyj,wta_805,ranking
Peyton Stearns,stearnsp,wta_59,alias
Solana Sierra,ssierra,,alias_no_match
Solana Sierra,solanasierra,,alias_no_match
Solana Sierra,sierras,wta_64,alias
Alexander Shevchenko,shevchenkoa,atp_79,alias
Sho Shimabukuro,sshimabukuro,,alias_no_match
Sho Shimabukuro,shoshimabukuro,,alias_no_match
Sho Shimabukuro,shimabukuros,atp_135,alias
Kamil Majchrzak,kamilmajchrzak,,alias_no_match
Kamil Majchrzak,kmajchrzak,,alias_no_match
Kamil Majchrzak,majchrzakk,atp_56,alias
Giovanni Mpetshi Perricard,perricard,,alias_no_match
Giovanni Mpetshi Perricard,gmperricard,,alias_no_match
Giovanni Mpetshi Perricard,giovannimpetshiperricard,,alias_no_match
Giovanni Mpetshi Perricard,mpetshiperricard,,alias_no_match
Giovanni Mpetshi Perricard,perricardg,atp_58,alias
Terence Atmane,atmanet,atp_65,alias
Grigor Dimitrov,dimitrovg,atp_42,alias
Chun-Hsin Tseng,hsintseng,,alias_no_match
Chun-Hsin Tseng,tsengc,,alias_no_match
Chun-Hsin Tseng,tseng,,alias_no_match
Chun-Hsin Tseng,chunhsintseng,,alias_no_match
Chun-Hsin Tseng,hsintsengc,,alias_no_match
Chun-Hsin Tseng,ctseng,,alias_no_match
Chun-Hsin Tseng,chtseng,,alias_no_match
Chun-Hsin Tseng,hsintseng,atp_114,player_lookup
Sebastian Baez,sbaez,,alias_no_match
Sebastian Baez,sebastianbaez,,alias_no_match
Sebastian Baez,baezs,atp_33,alias
Jacob Fearnley,jacobfearnley,,alias_no_match
Jacob Fearnley,fearnley,,alias_no_match
Jacob Fearnley,fearnleyj,atp_84,alias
Damir Dzumhur,dzumhurd,atp_61,alias
Hubert Hurkacz,hhurkacz,,alias_no_match
Hubert Hurkacz,hurkaczh,atp_71,alias
Aleksandar Kovacevic,kovacevica,atp_75,alias
Valentin Royer,vroyer,,alias_no_match
Valentin Royer,royer,,alias_no_match
Valentin Royer,royerv,atp_59,alias
Benjamin Bonzi,benjaminbonzi,,alias_no_match
Benjamin Bonzi,bbonzi,,alias_no_match
Benjamin Bonzi,bonzi,,alias_no_match
Benjamin Bonzi,bonzib,atp_123,alias
Fabian Marozsan,marozsanf,atp_47,alias
Roberto Bautista Agut,agut,,alias_no_match
Roberto Bautista Agut,robertobautistaagut,,alias_no_match
Roberto Bautista Agut,rbagut,,alias_no_match
Roberto Bautista Agut,bautistaagut,,alias_no_match
Roberto Bautista Agut,agutr,atp_82,alias
Daniel Merida Aguilar,danielmeridaaguilar,,alias_no_match
Daniel Merida Aguilar,daguilar,,alias_no_match
Daniel Merida Aguilar,meridaaguilar,,alias_no_match
Daniel Merida Aguilar,aguilard,,alias_no_match
Daniel Merida Aguilar,meridaaguilard,,alias_no_match
Daniel Merida Aguilar,dmaguilar,,alias_no_match
Daniel Merida Aguilar,aguilar,,alias_no_match
Daniel Merida Aguilar,danielmeridaaguilar,,player_lookup_no_match
Daniel Merida Aguilar,daguilar,,player_lookup_no_match
Daniel Merida Aguilar,meridaaguilar,,player_lookup_no_match
Daniel Merida Aguilar,aguilard,,player_lookup_no_match
Daniel Merida Aguilar,meridaaguilard,,player_lookup_no_match
Daniel Merida Aguilar,dmaguilar,,player_lookup_no_match
Daniel Merida Aguilar,aguilar,,player_lookup_no_match
Daniel Merida Aguilar,danielmeridaaguilar,,ranking_no_match
Daniel Merida Aguilar,daguilar,,ranking_no_match
Daniel Merida Aguilar,meridaaguilar,,ranking_no_match
Daniel Merida Aguilar,aguilard,,ranking_no_match
Daniel Merida Aguilar,meridaaguilard,,ranking_no_match
Daniel Merida Aguilar,dmaguilar,,ranking_no_match
Daniel Merida Aguilar,aguilar,atp_759,ranking
Alex Michelsen,alexmichelsen,,alias_no_match
Alex Michelsen,michelsen,,alias_no_match
Alex Michelsen,amichelsen,,alias_no_match
