WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
2,Brisbane,Brisbane International,1/4/2026,WTA500,Outdoor,Hard,1st Round,3,Kenin S.,Ruse E.G.,28,85,1589,825,6,4,4,6,6,3,2,1,Completed,2,1.8,2.03,1.86,2.1,1.85,1.99,1.79,2.04,1.93
2,Brisbane,Brisbane International,1/4/2026,WTA500,Outdoor,Hard,1st Round,3,Bouzkova M.,Cristian J.,46,38,1182,1324,6,4,6,3,,,2,0,Completed,1.5,2.63,1.44,2.99,1.5,2.9,1.43,2.77,1.44,3.2
2,Brisbane,Brisbane International,1/5/2026,WTA500,Outdoor,Hard,1st Round,3,Birrell K.,Sramkova R.,106,71,721,914,6,4,3,6,6,3,2,1,Completed,2.1,1.73,2.24,1.71,2.25,1.75,2.18,1.66,2.2,1.77
2,Brisbane,Brisbane International,1/5/2026,WTA500,Outdoor,Hard,1st Round,3,Zhang S.,Krueger A.,79,49,843,1134,6,4,5,7,6,4,2,1,Completed,1.67,2.2,1.77,2.16,1.73,2.23,1.69,2.14,1.81,2.16
2,Brisbane,Brisbane International,1/5/2026,WTA500,Outdoor,Hard,1st Round,3,Gadecki O.,Li A.,204,37,350,1334,6,4,6,4,,,2,0,Completed,2.38,1.57,2.45,1.61,2.42,1.65,2.32,1.59,2.52,1.62
2,Brisbane,Brisbane International,1/5/2026,WTA500,Outdoor,Hard,1st Round,3,Bucsa C.,Bondar A.,50,73,1127,900,4,6,7,6,6,2,2,1,Completed,1.53,2.5,1.56,2.58,1.67,2.65,1.52,2.5,1.57,2.56
2,Brisbane,Brisbane International,1/5/2026,WTA500,Outdoor,Hard,1st Round,3,Putintseva Y.,Baptiste H.,74,65,891,979,6,2,6,4,,,2,0,Completed,,,,,,,,,,
2,Brisbane,Brisbane International,1/5/2026,WTA500,Outdoor,Hard,1st Round,3,Sasnovich A.,Blinkova A.,113,61,672,1016,7,5,6,1,,,2,0,Completed,1.62,2.3,1.64,2.39,1.63,2.5,1.57,2.37,1.64,2.52
2,Brisbane,Brisbane International,1/5/2026,WTA500,Outdoor,Hard,1st Round,3,Kalinskaya A.,Valentova T.,33,60,1461,1035,6,4,6,4,,,2,0,Completed,2.3,1.62,2.58,1.56,2.4,1.9,2.26,1.62,2.6,1.61
2,Brisbane,Brisbane International,1/5/2026,WTA500,Outdoor,Hard,1st Round,3,Yastremska D.,Gibson T.,27,118,1604,634,7,6,7,6,,,2,0,Completed,1.5,2.63,1.56,2.58,1.53,3,1.5,2.56,1.62,2.6
2,Brisbane,Brisbane International,1/5/2026,WTA500,Outdoor,Hard,1st Round,3,Frech M.,Vondrousova M.,59,34,1051,1445,7,5,6,7,7,6,2,1,Completed,4.33,1.22,4.46,1.24,4.33,1.23,4.14,1.22,4.5,1.28
2,Brisbane,Brisbane International,1/5/2026,WTA500,Outdoor,Hard,1st Round,3,Jones E.,Maria T.,147,43,491,1229,6,3,6,3,,,2,0,Completed,1.33,3.4,1.38,3.3,1.38,4.33,1.33,3.29,1.37,3.55
