Player,player_id,Position
Keon Ellis,1631165,Guard
Joel Embiid,203954,Center-Forward
Tristan Enaruna,1642400,Forward
Noa Essengue,1642855,Forward
Tyson Etienne,1630623,Guard
Drew Eubanks,1629234,Forward-Center
Danté Exum,203957,Guard
Jeremiah Fears,1642847,Guard
Kyle Filipowski,1642271,Center
Dorian Finney-Smith,1627827,Forward
Cooper Flagg,1642843,Forward
Rasheer Fleming,1642853,Forward
Simone Fontecchio,1631323,Forward
De'Aaron Fox,1628368,Guard
Enrique Freeman,1642402,Forward
Johnny Furphy,1642277,Guard
Daniel Gafford,1629655,Forward-Center
Myron Gardner,1642066,Forward
Darius Garland,1629636,Guard
Luka Garza,1630568,Center
Keyonte George,1641718,Guard
Kyshawn George,1642273,Forward
Paul George,202331,Forward
Josh Giddey,1630581,Guard
Shai Gilgeous-Alexander,1628983,Guard
Anthony Gill,1630264,Forward
Collin Gillespie,1631221,Guard
Rudy Gobert,203497,Center
Vladislav Goldin,1642884,Center
Hugo González,1642864,Guard
Jordan Goodwin,1630692,Guard
Aaron Gordon,203932,Forward
Eric Gordon,201569,Guard
Jerami Grant,203924,Forward
AJ Green,1631260,Guard
Draymond Green,203110,Forward
Jalen Green,1630224,Guard
Javonte Green,1629750,Guard
Jeff Green,201145,Forward
Josh Green,1630182,Guard
Quentin Grimes,1629656,Guard
Mouhamed Gueye,1631243,Forward
Rui Hachimura,1629060,Forward
Tyrese Haliburton,1630169,Guard
PJ Hall,1641790,Center
Tim Hardaway Jr.,203501,Guard-Forward
James Harden,201935,Guard
Jaden Hardy,1630702,Guard
Elijah Harkless,1641989,Guard
Dylan Harper,1642844,Guard
Ron Harper Jr.,1631199,Guard-Forward
Gary Harris,203914,Guard
Tobias Harris,202699,Forward
Josh Hart,1628404,Guard
Isaiah Hartenstein,1628392,Center-Forward
Sam Hauser,1630573,Forward
Jordan Hawkins,1641722,Guard
Jaxson Hayes,1629637,Center-Forward
Nigel Hayes-Davis,1628502,Forward
Scoot Henderson,1630703,Guard
Taylor Hendricks,1641707,Forward
Chucky Hepburn,1642935,Guard
Tyler Herro,1629639,Guard
Buddy Hield,1627741,Guard
Haywood Highsmith,1629312,Forward
Aaron Holiday,1628988,Guard
Jrue Holiday,201950,Guard
Ronald Holland II,1641842,Forward
DaRon Holmes II,1641747,Forward
Chet Holmgren,1631096,Center-Forward
Al Horford,201143,Center-Forward
Caleb Houstan,1631216,Guard
Jett Howard,1641724,Guard
Kevin Huerter,1628989,Guard-Forward
Jay Huff,1630643,Center
Ariel Hukporti,1630574,Center
De'Andre Hunter,1629631,Forward-Guard
Bones Hyland,1630538,Guard
Oso Ighodaro,1642345,Forward
Joe Ingles,204060,Forward-Guard
Brandon Ingram,1627742,Forward
Harrison Ingram,1631127,Forward
Kyrie Irving,202681,Guard
Jonathan Isaac,1628371,Forward
Jaden Ivey,1631093,Guard
GG Jackson,1641713,Forward
Isaiah Jackson,1630543,Forward
Quenton Jackson,1631245,Guard
Andre Jackson Jr.,1641748,Guard
Jaren Jackson Jr.,1628991,Forward-Center
Trayce Jackson-Davis,1631218,Forward
Kasparas Jakučionis,1642857,Guard
Bronny James,1642355,Guard
LeBron James,2544,Forward
Sion James,1642883,Guard
Jaime Jaquez Jr.,1631170,Guard
Trey Jemison III,1641998,Center
Daniss Jenkins,1642450,Guard
Ty Jerome,1629660,Guard-Forward
Isaiah Joe,1630198,Guard
AJ Johnson,1642358,Guard
Cameron Johnson,1629661,Forward
Chaney Johnson,1643052,Guard-Forward
Jalen Johnson,1630552,Forward
Keldon Johnson,1629640,Forward-Guard
Keshad Johnson,1642352,Forward
Tre Johnson,1642848,Guard
Nikola Jokić,203999,Center
Curtis Jones,1642938,Guard
Dillon Jones,1641794,Forward
Herbert Jones,1630529,Forward
Isaac Jones,1642403,Forward
Kam Jones,1642880,Guard
Spencer Jones,1642461,Forward
Tre Jones,1630200,Guard
Tyus Jones,1626145,Guard
David Jones Garcia,1642357,Guard
Derrick Jones Jr.,1627884,Forward
DeAndre Jordan,201599,Center
Nikola Jović,1631107,Forward
Johnny Juzang,1630548,Guard
Ryan Kalkbrenner,1641750,Center
Yuki Kawamura,1642530,Guard
Miles Kelly,1642939,Guard
Luke Kennard,1628379,Guard
Walker Kessler,1631117,Center
Corey Kispert,1630557,Forward
Maxi Kleber,1628467,Forward
Bobi Klintman,1641752,Forward
Dalton Knecht,1642261,Forward
Kon Knueppel,1642851,Guard-Forward
Tyler Kolek,1642278,Guard
Christian Koloko,1631132,Center
John Konchar,1629723,Guard
Luke Kornet,1628436,Center-Forward
Vít Krejčí,1630249,Guard
Jonathan Kuminga,1630228,Forward
Kyle Kuzma,1628398,Forward
Jake LaRavia,1631222,Forward
Zach LaVine,203897,Guard
Skal Labissiere,1627746,Forward-Center
Jock Landale,1629111,Center
Chaz Lanier,1642404,Guard
Pelle Larsson,1641796,Guard
A.J. Lawson,1630639,Guard
Caris LeVert,1627747,Guard
Kawhi Leonard,202695,Forward
Malevy Leons,1642502,Forward
E.J. Liddell,1630604,Forward
Damian Lillard,203081,Guard
Dereck Lively II,1641726,Center
Isaiah Livers,1630587,Forward
Kevon Looney,1626172,Forward
Brook Lopez,201572,Center
Caleb Love,1631126,Guard
Kevin Love,201567,Forward-Center
Kyle Lowry,200768,Guard
Khaman Maluach,1642863,Center
Sandro Mamukelashvili,1630572,Forward-Center
Terance Mann,1629611,Guard-Forward
Tre Mann,1630544,Guard
Lauri Markkanen,1628374,Forward-Center
Naji Marshall,1630230,Forward
Alijah Martin,1642918,Guard
Caleb Martin,1628997,Forward
Tyrese Martin,1631213,Forward
